Y,M,D,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR
1991,1,1,5.3,9.6,0,-,-,86,0,3.4,2.4,13,-,1,0,0,0,0,0
1991,1,2,2.6,6.4,0,-,-,88,0,3.7,4.1,11.1,-,1,0,0,0,0,0
1991,1,3,2.3,5.2,-1,-,-,87,0,2.6,2,9.4,-,1,0,0,0,0,0
1991,1,4,3.9,10,0,-,-,63,0,8,4.4,25.9,-,1,0,0,0,0,0
1991,1,5,2.9,10.4,-3,-,-,69,0,10.5,5.2,18.3,-,0,0,0,0,0,0
1991,1,6,3.6,7.6,-1,-,-,87,0,7.6,4.1,16.5,-,0,0,0,0,0,0
1991,1,7,8.1,10.6,6,-,-,82,0,10.1,14.8,24.1,-,0,1,0,0,0,0
1991,1,8,8.4,12,5,-,-,73,5.08,10.8,10.6,25.9,-,0,1,0,0,0,0
1991,1,9,9.1,11.6,6.8,-,-,81,0,10,11.3,22.2,-,0,1,0,0,0,0
1991,1,10,10.2,13.3,8,-,-,75,0,11.1,9.8,18.3,-,0,0,0,0,0,0
1991,1,11,9.4,12.2,6,-,-,76,0,10.9,7,18.3,-,0,1,0,0,0,0
1991,1,12,6.6,9.2,3,-,-,67,2.03,10.1,14.1,33.5,50,0,1,0,0,0,0
1991,1,13,3,7.6,-0.4,-,-,55,0,11.1,12.8,22.2,-,0,0,0,0,0,0
1991,1,14,1.6,7,-3,-,-,55,0,10.1,3.7,14.8,-,0,0,0,0,0,0
1991,1,15,-1.4,6.3,-6,-,-,68,0,10,1.1,11.1,-,0,0,0,0,0,0
1991,1,16,-1.2,3.4,-5,-,-,77,0,9.8,1.3,7.6,-,0,0,0,0,0,0
1991,1,17,3.4,6.4,1,-,-,79,0.25,7.9,1.9,7.6,-,0,1,0,0,0,0
1991,1,18,6.5,11.4,4,-,-,81,0.25,7.9,3.1,9.4,-,0,1,0,0,0,0
1991,1,19,7.1,11,3,-,-,77,0,9.5,3.3,14.8,-,0,0,0,0,0,0
1991,1,20,5.8,13,-1,-,-,61,0,10,6.5,27.8,40.7,0,0,0,0,0,0
1991,1,21,4.9,11.4,0,-,-,59,0,10,10.7,25.9,44.6,0,0,0,0,0,0
1991,1,22,3.2,10,-3,-,-,68,0,11.1,9.8,29.4,-,0,0,0,0,0,0
1991,1,23,5,9.6,2.6,-,-,63,0,10.8,22.4,38.9,-,0,0,0,0,0,0
1991,1,24,3.2,10.2,-3,-,-,60,0,10.8,10.2,22.2,-,0,0,0,0,0,0
1991,1,25,5.2,11,0.8,-,-,55,0,11.1,10.7,22.2,-,0,0,0,0,0,0
1991,1,26,5.7,10,-1,-,-,60,0,11.1,10.7,25.9,-,0,0,0,0,0,0
1991,1,27,1.7,10,-4,-,-,65,0,10.1,2.8,7.6,-,0,0,0,0,0,0
1991,1,28,1.1,11,-6,-,-,65,0,9.7,2.6,7.6,-,0,0,0,0,0,0
1991,1,29,0.2,5.2,-6,-,-,80,0,8.2,1.5,7.6,-,0,1,0,0,0,0
1991,1,30,3.3,9,0,-,-,76,0.51,4.7,2.2,11.1,-,1,0,0,0,0,0
1991,1,31,1.4,9,-4,-,-,71,0,10.3,2.4,13,-,0,0,0,0,0,0
1991,2,1,2.6,5.2,0,-,950.9,90,4.32,5.3,3.9,14.8,-,0,1,0,0,0,0
1991,2,2,3.1,5,0.4,-,948,84,1.02,9.8,7,18.3,-,0,1,0,0,0,0
1991,2,3,6.2,10,3.4,-,953.6,63,0.25,11.1,14.8,27.8,-,0,0,0,0,0,0
1991,2,4,5.2,11,1,-,958.2,66,0,11.3,3.5,11.1,-,0,0,0,0,0,0
1991,2,5,4.3,11.6,-2.2,-,955.6,72,0,10.6,1.9,9.4,-,0,0,0,0,0,0
1991,2,6,5.7,10,0,-,949.3,84,0,8.5,9.3,31.7,-,1,1,0,0,0,0
1991,2,7,6.9,10,3,-,943.5,67,1.02,10.9,19.3,33.5,37,0,1,0,0,0,0
1991,2,8,4.8,9.2,1.4,-,948,69,0,11.6,18.9,29.4,-,0,0,0,0,0,0
1991,2,9,7.3,9.5,5.8,-,946.8,76,0,11.6,23.7,37,-,0,1,0,0,0,0
1991,2,10,5.1,9.5,0,-,949,57,2.03,11.1,9.6,22.2,-,0,1,0,0,0,0
1991,2,11,1.7,8,-4,-,951.8,62,0,10.5,4.4,11.1,-,0,0,0,0,0,0
1991,2,12,0.3,6,-4,1021.5,950.2,62,0,11.4,6.1,16.5,-,0,0,0,0,0,0
1991,2,13,1.6,9.4,-6,-,948.5,52,0,10.6,5.6,25.9,-,0,0,0,0,0,0
1991,2,14,2.9,7,-2,-,951.6,50,0,10.9,20.4,33.5,-,0,0,0,0,0,0
1991,2,15,0.8,10,-8.5,-,953.3,55,0,9.8,3.9,13,-,0,0,0,0,0,0
1991,2,16,0.9,3,-1.2,-,943.9,87,4.06,6,1.3,9.4,-,1,1,1,0,0,0
1991,2,17,2.7,7.2,1,-,934.4,84,4.06,7.1,5,18.3,-,1,1,0,0,0,0
1991,2,18,1.8,5,0,-,935.2,88,19.05,7.6,8.1,14.8,-,0,1,1,0,0,0
1991,2,19,6.5,9,4,-,937.9,71,61.98,11.1,22.2,37,48.2,0,1,0,0,0,0
1991,2,20,7.2,14.4,2,-,944.3,63,0,11.3,5.2,16.5,-,0,0,0,0,0,0
1991,2,21,6,12.4,-0.2,-,947.7,72,0,9.8,11.1,25.9,-,0,0,0,0,0,0
1991,2,22,5.8,12.5,2,-,956.1,71,0,7.1,5.7,14.8,-,1,1,0,0,0,0
1991,2,23,5.7,15.2,-1.6,-,961.1,65,0,9.8,2.2,9.4,-,0,0,0,0,0,0
1991,2,24,6.8,17.6,-1,-,959.4,62,0,10,3,9.4,-,0,0,0,0,0,0
1991,2,25,8.4,18.2,1,-,954.8,60,0,10,2.8,11.1,-,0,0,0,0,0,0
1991,2,26,8,18.2,1,-,953.8,69,0,10,4.1,14.8,-,0,0,0,0,0,0
1991,2,27,7.3,13.5,1.5,-,952.3,61,0,10.8,12,37,-,0,0,0,0,0,0
1991,2,28,5.8,8,4.6,-,941.5,84,13.97,7.6,12.2,27.8,-,0,1,0,0,0,0
1991,3,1,7.2,12.4,4,-,-,68,0,11.1,12.4,33.5,-,0,0,0,0,0,0
1991,3,2,7.3,14,1,-,-,65,0,10.5,3.3,9.4,-,0,0,0,0,0,0
1991,3,3,10.1,17.8,6,-,-,68,0,10.3,2.6,11.1,-,0,1,0,0,0,0
1991,3,4,11.1,16.4,4,-,-,62,0,10.8,6.3,18.3,-,0,0,0,0,0,0
1991,3,5,10.2,13.2,8,-,-,74,2.03,10,16.5,37,-,0,1,0,0,0,0
1991,3,6,9.5,12.6,7,-,-,63,4.32,11.1,29.3,40.7,66.5,0,1,0,0,0,0
1991,3,7,7.9,12.7,6,-,-,74,10.92,10.6,25.9,51.9,70.6,0,1,0,0,0,0
1991,3,8,7.3,11,4,-,-,78,0,10.9,19.8,40.7,59.4,0,1,0,0,0,0
1991,3,9,8.5,11.2,6,-,-,84,3.05,10.1,16.9,25.9,-,0,1,0,0,0,0
1991,3,10,11.8,17.2,8,-,-,69,0,11.9,13,25.9,-,0,1,0,0,0,0
1991,3,11,9.4,17.5,3,-,-,75,0,10.1,2.4,9.4,-,0,0,0,0,0,0
1991,3,12,8.8,14.5,5,-,-,84,3.05,7.1,4.1,25.9,-,0,1,0,0,0,0
1991,3,13,9.4,10.6,8,1005.4,937.6,83,3.05,10.6,7,20.6,-,0,1,0,0,0,0
1991,3,14,12.1,17,7,-,-,60,5.08,11.1,9.3,22.2,-,0,0,0,0,0,0
1991,3,15,11.6,15,6,-,-,69,0,8.2,2.8,11.1,-,0,1,0,0,0,0
1991,3,16,11.2,14,9,-,-,70,1.02,10.1,18,38.9,-,0,1,0,0,0,0
1991,3,17,9.5,15.5,6,-,-,67,0.51,10.8,17,38.9,-,0,1,0,1,0,0
1991,3,18,9.2,17,2,-,-,67,0,10.6,1.7,9.4,-,0,0,0,0,0,0
1991,3,19,12.4,21,4.8,-,-,65,0,10.8,3.7,14.8,-,0,0,0,0,0,0
1991,3,20,13.2,22.4,4.5,-,-,63,0,10.3,2.8,14.8,-,0,0,0,0,0,0
1991,3,21,12.4,17.5,8,-,-,57,0,10.9,18,48.2,57.6,0,0,0,0,0,0
1991,3,22,7.6,12,4,-,-,65,0,11.1,8.3,18.3,-,0,0,0,0,0,0
1991,3,23,7,12.3,2.6,-,-,55,0,11.3,24.6,40.7,59.4,0,0,0,0,0,0
1991,3,24,6.4,10,4,-,-,52,0,11.9,35.7,55.4,74.1,0,0,0,0,0,0
1991,3,25,8.8,12,6,-,-,59,0,11.1,15.9,24.1,40.7,0,1,0,0,0,0
1991,3,26,8.3,11.2,7,1009.5,941.3,80,0,9.5,1.5,11.1,-,0,1,0,0,0,0
1991,3,27,9.7,15.4,6,-,-,69,3.05,9.5,2.4,7.6,-,0,1,0,0,0,0
1991,3,28,11,17.2,5,-,-,59,0,10.8,3.3,11.1,-,0,0,0,0,0,0
1991,3,29,12.2,18.2,7,-,-,58,0,10.9,6.5,18.3,-,0,0,0,0,0,0
1991,3,30,11.6,16,8,-,-,61,0,11.3,7,14.8,-,0,1,0,0,0,0
1991,3,31,11.1,16,5,-,-,54,99.06,10.9,6.1,18.3,-,0,0,0,0,0,0
1991,4,1,10.5,17.6,3,-,-,50,0,10.3,2.8,11.1,-,0,0,0,0,0,0
1991,4,2,10.9,20,2,-,-,53,0,9,8.9,25.9,-,0,0,0,0,0,0
1991,4,3,11.3,16.3,7,-,-,52,0,11.3,13.7,33.5,-,0,1,0,0,0,0
1991,4,4,7.4,13,1,-,-,66,0,11.1,22,55.4,-,0,1,0,0,0,0
1991,4,5,8.9,14.2,5,-,-,48,3.05,11.4,31.7,44.6,59.4,0,0,0,0,0,0
1991,4,6,9.2,16,1,-,-,51,0,10.3,5.4,16.5,-,0,0,0,0,0,0
1991,4,7,10.8,20.2,2,-,-,57,0,10,3.1,11.1,-,0,0,0,0,0,0
1991,4,8,13.9,21,7,-,-,55,0,10.1,4.1,14.8,-,0,0,0,0,0,0
1991,4,9,13.5,22.4,5,1023,954.9,57,0,11.1,3.9,11.1,-,0,0,0,0,0,0
1991,4,10,13.7,23.5,5,-,-,51,0,10.3,3.1,11.1,-,0,0,0,0,0,0
1991,4,11,14.7,24,7,-,-,51,0,10.8,4.3,11.1,-,0,0,0,0,0,0
1991,4,12,13.4,22,5,-,-,51,0,10.9,8.3,25.9,-,0,1,0,0,1,0
1991,4,13,8,12.2,5,-,-,67,1.02,11.1,8,22.2,-,0,1,0,0,1,0
1991,4,14,8.8,15,4,-,-,78,2.03,10.9,14.4,33.5,-,0,1,0,0,0,0
1991,4,15,9.7,11.8,7.9,-,-,90,23.88,8.2,6.5,24.1,-,0,1,0,0,0,0
